,total_demand,avg_wind_speed,prcp,snowfall,temp_obs,weekend,holiday,qt_1,qt_2,qt_3,qt_4,foggy,rainy,snowy,windy
2012-01-01,2260.0,8.72,0.0,0.0,38.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0
2012-01-02,1937.0,13.87,0.02,0.0,34.5,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0
2012-01-03,2219.0,15.66,0.0,0.0,28.5,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0
2012-01-04,2357.0,7.61,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
2012-01-05,3251.0,4.92,0.0,0.0,32.5,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0
2012-01-06,4054.0,7.38,0.0,0.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
2012-01-07,4480.0,7.61,0.0,0.0,39.5,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0
2012-01-08,3408.0,8.05,0.0,0.0,38.5,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
2012-01-09,2325.0,3.8,0.05333333333333334,0.19999999999999998,32.5,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,0
2012-01-10,3573.0,6.71,0.08333333333333333,0.0,32.5,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0
2012-01-11,2166.0,6.26,0.17,0.0,31.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0
2012-01-12,4063.0,7.83,0.9033333333333333,0.0,43.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0
2012-01-13,3190.0,14.99,0.023333333333333334,0.0,34.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0
2012-01-14,2470.0,8.72,0.0,0.0,28.5,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
2012-01-15,2292.0,9.62,0.0,0.0,29.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
2012-01-16,2277.0,10.51,0.01,0.0,23.5,0.0,1.0,1.0,0.0,0.0,0.0,0,1,0,0
2012-01-17,2913.0,13.87,0.19999999999999998,0.0,42.5,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0
2012-01-18,3353.0,16.55,0.06,0.0,39.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
2012-01-19,3278.0,9.62,0.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
2012-01-20,3126.0,8.28,0.016666666666666666,0.16666666666666666,33.5,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1,0
2012-01-21,1284.0,9.4,0.2833333333333333,0.7666666666666666,31.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,1,0
2012-01-22,1954.0,7.83,0.0,0.0,29.5,1.0,0.0,1.0,0.0,0.0,0.0,0,1,1,0
2012-01-23,2411.0,4.7,0.01,0.0,32.5,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0
2012-01-24,4295.0,4.7,0.036666666666666674,0.0,42.5,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0
2012-01-25,4234.0,6.26,0.0,0.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
2012-01-26,4027.0,3.8,0.0,0.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0
2012-01-27,3418.0,13.65,0.38000000000000006,0.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,1
2012-01-28,3989.0,8.28,0.06666666666666667,0.0,40.5,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
2012-01-29,3206.0,10.51,0.0,0.0,32.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
