,date,week,day_of_week,month,bike_counts
0,2022-01-01,52,5,1,3452
1,2022-01-02,52,6,1,5419
2,2022-01-03,1,0,1,497
3,2022-01-04,1,1,1,1257
4,2022-01-05,1,2,1,2265
5,2022-01-06,1,3,1,3747
6,2022-01-07,1,4,1,2235
7,2022-01-08,1,5,1,3318
8,2022-01-09,1,6,1,1764
9,2022-01-10,2,0,1,3862
10,2022-01-11,2,1,1,3337
11,2022-01-12,2,2,1,4451
12,2022-01-13,2,3,1,5002
13,2022-01-14,2,4,1,5009
14,2022-01-15,2,5,1,3500
15,2022-01-16,2,6,1,1613
16,2022-01-17,3,0,1,2583
17,2022-01-18,3,1,1,4128
18,2022-01-19,3,2,1,5173
19,2022-01-20,3,3,1,3289
20,2022-01-21,3,4,1,3659
21,2022-01-22,3,5,1,4149
22,2022-01-23,3,6,1,3968
23,2022-01-24,4,0,1,4438
24,2022-01-25,4,1,1,4976
25,2022-01-26,4,2,1,4277
26,2022-01-27,4,3,1,4601
27,2022-01-28,4,4,1,3582
28,2022-01-29,4,5,1,2721
29,2022-01-30,4,6,1,3079
30,2022-01-31,5,0,1,4268
31,2022-02-01,5,1,2,5174
32,2022-02-02,5,2,2,5807
33,2022-02-03,5,3,2,3217
34,2022-02-04,5,4,2,2541
35,2022-02-05,5,5,2,4441
36,2022-02-06,5,6,2,4206
37,2022-02-07,6,0,2,4006
38,2022-02-08,6,1,2,5501
39,2022-02-09,6,2,2,6370
40,2022-02-10,6,3,2,6736
41,2022-02-11,6,4,2,7874
42,2022-02-12,6,5,2,8660
43,2022-02-13,6,6,2,2911
44,2022-02-14,7,0,2,4082
45,2022-02-15,7,1,2,5030
46,2022-02-16,7,2,2,6183
47,2022-02-17,7,3,2,7299
48,2022-02-18,7,4,2,5460
49,2022-02-19,7,5,2,5056
50,2022-02-20,7,6,2,4855
51,2022-02-21,8,0,2,7966
52,2022-02-22,8,1,2,5139
53,2022-02-23,8,2,2,8068
54,2022-02-24,8,3,2,3430
55,2022-02-25,8,4,2,5653
56,2022-02-26,8,5,2,6306
57,2022-02-27,8,6,2,6565
58,2022-02-28,9,0,2,5780
59,2022-03-01,9,1,3,6928
60,2022-03-02,9,2,3,7888
61,2022-03-03,9,3,3,7055
62,2022-03-04,9,4,3,6717
63,2022-03-05,9,5,3,9692
64,2022-03-06,9,6,3,9340
65,2022-03-07,10,0,3,6650
66,2022-03-08,10,1,3,7598
67,2022-03-09,10,2,3,3891
68,2022-03-10,10,3,3,7577
69,2022-03-11,10,4,3,9237
70,2022-03-12,10,5,3,2119
71,2022-03-13,10,6,3,4311
72,2022-03-14,11,0,3,8007
73,2022-03-15,11,1,3,10420
74,2022-03-16,11,2,3,11055
75,2022-03-17,11,3,3,5603
76,2022-03-18,11,4,3,11445
77,2022-03-19,11,5,3,14028
78,2022-03-20,11,6,3,9001
79,2022-03-21,12,0,3,11029
80,2022-03-22,12,1,3,12742
81,2022-03-23,12,2,3,5905
82,2022-03-24,12,3,3,7731
83,2022-03-25,12,4,3,12668
84,2022-03-26,12,5,3,11523
85,2022-03-27,12,6,3,5835
86,2022-03-28,13,0,3,5005
87,2022-03-29,13,1,3,6645
88,2022-03-30,13,2,3,8616
89,2022-03-31,13,3,3,7989
90,2022-04-01,13,4,4,9067
91,2022-04-02,13,5,4,13667
92,2022-04-03,13,6,4,10300
93,2022-04-04,14,0,4,8705
94,2022-04-05,14,1,4,5308
95,2022-04-06,14,2,4,8055
96,2022-04-07,14,3,4,4486
97,2022-04-08,14,4,4,10676
98,2022-04-09,14,5,4,11553
99,2022-04-10,14,6,4,8104
100,2022-04-11,15,0,4,9464
101,2022-04-12,15,1,4,11648
102,2022-04-13,15,2,4,12449
103,2022-04-14,15,3,4,10503
104,2022-04-15,15,4,4,13327
105,2022-04-16,15,5,4,14234
106,2022-04-17,15,6,4,9886
107,2022-04-18,16,0,4,3485
108,2022-04-19,16,1,4,8181
109,2022-04-20,16,2,4,10839
110,2022-04-21,16,3,4,10751
111,2022-04-22,16,4,4,12915
112,2022-04-23,16,5,4,14902
113,2022-04-24,16,6,4,13660
114,2022-04-25,17,0,4,10340
115,2022-04-26,17,1,4,8266
116,2022-04-27,17,2,4,10251
117,2022-04-28,17,3,4,9898
118,2022-04-29,17,4,4,11501
119,2022-04-30,17,5,4,14013
120,2022-05-01,17,6,5,8387
121,2022-05-02,18,0,5,11341
122,2022-05-03,18,1,5,11809
123,2022-05-04,18,2,5,10843
124,2022-05-05,18,3,5,11243
125,2022-05-06,18,4,5,4168
126,2022-05-07,18,5,5,2839
127,2022-05-08,18,6,5,7124
128,2022-05-09,19,0,5,10297
129,2022-05-10,19,1,5,11962
130,2022-05-11,19,2,5,11900
131,2022-05-12,19,3,5,11394
132,2022-05-13,19,4,5,10394
133,2022-05-14,19,5,5,12272
134,2022-05-15,19,6,5,12153
135,2022-05-16,20,0,5,8507
136,2022-05-17,20,1,5,12728
137,2022-05-18,20,2,5,12142
138,2022-05-19,20,3,5,11966
139,2022-05-20,20,4,5,12454
140,2022-05-21,20,5,5,13028
141,2022-05-22,20,6,5,9748
142,2022-05-23,21,0,5,10569
143,2022-05-24,21,1,5,8878
144,2022-05-25,21,2,5,12048
145,2022-05-26,21,3,5,11479
146,2022-05-27,21,4,5,8350
147,2022-05-28,21,5,5,14370
148,2022-05-29,21,6,5,15100
149,2022-05-30,22,0,5,12437
150,2022-05-31,22,1,5,10891
151,2022-06-01,22,2,6,11370
152,2022-06-02,22,3,6,8502
153,2022-06-03,22,4,6,13484
154,2022-06-04,22,5,6,15907
155,2022-06-05,22,6,6,13926
156,2022-06-06,23,0,6,12408
157,2022-06-07,23,1,6,9527
158,2022-06-08,23,2,6,11682
159,2022-06-09,23,3,6,13630
160,2022-06-10,23,4,6,14761
161,2022-06-11,23,5,6,13322
162,2022-06-12,23,6,6,13190
163,2022-06-13,24,0,6,11431
164,2022-06-14,24,1,6,12794
165,2022-06-15,24,2,6,13427
166,2022-06-16,24,3,6,12793
167,2022-06-17,24,4,6,13012
168,2022-06-18,24,5,6,16757
169,2022-06-19,24,6,6,15189
170,2022-06-20,25,0,6,13791
171,2022-06-21,25,1,6,12891
172,2022-06-22,25,2,6,10140
173,2022-06-23,25,3,6,10455
174,2022-06-24,25,4,6,15249
175,2022-06-25,25,5,6,15995
176,2022-06-26,25,6,6,12576
177,2022-06-27,26,0,6,11193
178,2022-06-28,26,1,6,13905
179,2022-06-29,26,2,6,13486
180,2022-06-30,26,3,6,12862
181,2022-07-01,26,4,7,12509
182,2022-07-02,26,5,7,12543
183,2022-07-03,26,6,7,14633
184,2022-07-04,27,0,7,19531
185,2022-07-05,27,1,7,11631
186,2022-07-06,27,2,7,12202
187,2022-07-07,27,3,7,12340
188,2022-07-08,27,4,7,12954
189,2022-07-09,27,5,7,7762
190,2022-07-10,27,6,7,14354
191,2022-07-11,28,0,7,12882
192,2022-07-12,28,1,7,10206
193,2022-07-13,28,2,7,14083
