,start_station_id,start_station_name,lat,lon,bike_counts
0,30200,9th St & Pennsylvania Ave NW,38.894264769342044,-77.02397966413724,24
1,30201,9th & G St NW,38.89810746054553,-77.02393070389873,23
2,31000,Eads St & 15th St S,38.85896919919447,-77.05323900609817,7
3,31002,Crystal Dr & 20th St S,38.85641435840525,-77.04923700987959,10
4,31003,Crystal Dr & 15th St S,38.86104761190736,-77.04941230993865,10
5,31004,Aurora Hills Cmty Ctr / 18th St & S Hayes St,38.85786691918553,-77.05948924687685,4
6,31005,Pentagon City Metro / 12th St & S Hayes St,38.86228824149206,-77.05993609447198,13
7,31006,Army Navy Dr & S Joyce St,38.8633137034192,-77.06341256172088,12
8,31006,Pentagon Row Plaza / Army Navy Dr & Joyce St,38.86331511007445,-77.06341614842103,9
9,31007,Crystal City Metro / 18th St & S Bell St,38.857763842985754,-77.05169125196123,13
10,31009,Crystal Dr & 27th St S,38.84845026155256,-77.05148538246614,6
11,31010,S Glebe Rd & Potomac Ave,38.8426035944978,-77.05020756026488,6
12,31011,Crystal Dr & 23rd St S,38.85292991003793,-77.04972107696425,8
13,31012,Clark St & 26th St S,38.85067433030271,-77.05153280445968,3
14,31013,Eads St & 22nd St S,38.85438091622088,-77.05341198827075,7
15,31014,19th St N & Ft Myer Dr,38.89719814191535,-77.07212559441008,10
16,31014,Lynn St & 19th St North,38.89734231359128,-77.07094933431306,17
17,31015,Wilson Blvd & Ft Myer Dr,38.89460250852273,-77.07228720314689,6
18,31016,Clarendon Blvd & Pierce St,38.89344685970061,-77.07636278225439,7
19,31017,Wilson Blvd & N Uhle St,38.89170259863902,-77.08459796721593,6
20,31018,Rhodes St & 16th St N,38.89216870460137,-77.07937828403642,4
21,31019,Wilson Blvd & N Edgewood St,38.889395336033175,-77.09185916078223,7
22,31020,Wilson Blvd & N Franklin Rd,38.890404875834164,-77.08889787631404,6
23,31021,Clarendon Blvd & N Fillmore St,38.88809527045615,-77.09308889171194,6
24,31022,Clarendon Metro / Wilson Blvd & N Highland St,38.88701208317233,-77.0952563625297,16
25,31023,Fairfax Dr & Wilson Blvd,38.88580692490835,-77.09773378661701,5
26,31024,Virginia Square Metro / Monroe St & 9th St N,38.88278192428895,-77.10316660063755,10
27,31025,Central Library / Quincy St & 10th St N,38.88397318173539,-77.10782601859009,5
28,31026,Washington Blvd & 10th St N,38.884731047590826,-77.09348668987357,6
29,31027,Wilson Blvd & N Quinn St,38.89399610535849,-77.0785802212893,8
30,31028,N Veitch St & Key Blvd,38.893236018071924,-77.08606149634252,2
31,31029,N Veitch St & 20th St N,38.89693376798222,-77.08649000385279,4
32,31030,Langston Blvd & N Adams St,38.895937939438454,-77.08900178039926,8
33,31031,15th St & N Scott St,38.89053869647415,-77.08094004483706,5
34,31032,Washington Blvd & 7th St N,38.88080970427291,-77.09078610628426,3
35,31033,Barcroft Community Center,38.85033888260196,-77.10098786819646,2
36,31034,Fairfax Dr & N Randolph St,38.88262416485703,-77.10937378026495,5
37,31035,N Quincy St & Glebe Rd,38.87638233025751,-77.10771991337934,4
38,31036,George Mason Dr & Wilson Blvd,38.878868057768145,-77.12069666226088,4
39,31037,Ballston Metro / Stuart St & 9th St N,38.88104347177361,-77.11177226696337,11
40,31038,Glebe Rd & 11th St N,38.88392724479662,-77.11681557741171,3
41,31039,Wilson Blvd & N Quincy St,38.879992183314236,-77.10783967775706,8
42,31040,GMU / Fairfax Dr & Kenmore St,38.884616659314275,-77.10107598333373,4
43,31040,GMU/Fairfax Dr & Kenmore St,38.88469150352907,-77.10034384437041,6
44,31041,Prince St & Union St,38.803122030169575,-77.0403531620555,7
45,31042,Market Square / King St & Royal St,38.80471686631793,-77.04335729447594,6
46,31043,St Asaph & Pendleton St,38.81074233449822,-77.04462604910515,4
47,31044,King St & Patrick St,38.8053113629644,-77.04988945631867,4
48,31045,Commerce St & Fayette St,38.80564805465199,-77.05293036396215,3
49,31046,Henry St & Pendleton St,38.811457761643204,-77.05027192867824,2
50,31047,Braddock Rd Metro,38.814572597222224,-77.0528084537037,2
51,31047,Braddock Rd Metro North,38.814573638368046,-77.05280955014261,4
52,31048,King St Metro South,38.80576828040347,-77.06067790630262,4
53,31049,Fairfax Dr & N Taylor St,38.88240786755894,-77.11275905550384,5
54,31049,Utah St & 11th St N,38.883672535534906,-77.11390684442918,4
55,31050,Barton St & 10th St N,38.88499146791356,-77.08779097756221,3
56,31051,Arlington Blvd & N Queen St,38.889361213255604,-77.07729656704765,4
57,31052,Potomac Ave & 35th St S,38.84401068165538,-77.0505292308046,4
58,31053,Columbia Pike & S Courthouse Rd,38.86386468164584,-77.08032382907177,3
59,31054,Wakefield High School,38.847137275229606,-77.1125413745868,3
60,31055,28th St & S Meade St,38.84623108566844,-77.06928995613868,3
61,31056,S Troy St & 26th St S,38.847987077983085,-77.0751124446155,3
62,31056,Troy St & 26th St S,38.847982858917256,-77.07511136372065,3
63,31057,Four Mile Run Dr & S Shirlington Rd,38.844400502951125,-77.08592868953154,3
64,31057,S Four Mile Run Dr & Shirlington Rd,38.84440106585468,-77.08592841833372,3
65,31058,Columbia Pike & Monroe St,38.86033693065095,-77.09369076632966,3
66,31058,Columbia Pike & S Oakland St,38.86078402177177,-77.09586599144144,2
67,31059,Four Mile Run Dr & S Walter Reed Dr,38.84735616431944,-77.09542202351824,3
68,31059,S Four Mile Run Dr & Walter Reed Dr,38.847354649205755,-77.0954193146949,3
69,31060,S Arlington Mill Dr & Campbell Ave,38.84231984724374,-77.08955757084324,5
70,31061,Kenmore St & 24th St S,38.848457815624556,-77.08491061575683,2
71,31061,S Kenmore St & 24th St S,38.848462928345114,-77.08491509327933,2
72,31062,Roosevelt Island,38.896553356210966,-77.06714145854188,16
73,31063,S George Mason & Four Mile Run Dr,38.85225134050225,-77.1050264785073,2
