,date,bike_counts
0,1,4649
1,2,5076
2,3,5120
3,4,5244
4,5,5064
5,6,6800
6,7,6562
7,8,7166
8,9,7891
9,10,6715
10,11,9078
11,12,10424
12,13,10345
13,14,10623
14,15,13128
15,16,12036
16,17,10692
17,18,10678
18,19,12698
19,20,13155
20,21,13175
21,22,13293
22,23,13626
23,24,14437
24,25,12984
25,26,13308
26,27,12967
27,28,13083
28,29,12366
29,30,12153
30,31,12047
31,32,11895
32,33,12501
33,34,12572
34,35,12360
35,36,11895
36,37,13889
37,38,13210
38,39,10227
39,40,10520
40,41,11790
41,42,11294
42,43,11480
43,44,11569
44,45,10456
45,46,6974
46,47,5900
47,48,7765
48,49,7529
49,50,6149
50,51,3106
51,52,4632
